estrategia,mes_absoluto,anio,mes_calendario,fecha,ocupacion_asumida,ingreso_bruto,gastos,ingreso_neto,ingreso_neto_acumulado,balance_acumulado,roi_acumulado
3. Turistico (Airbnb/Booking),16,2,12,2027-12-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,23051.95788579686,-241072.54211420316,0.09687731828450036
4. Mixto (curso+verano),16,2,12,2027-12-01,0.95,833.625,207.83496458333332,625.7900354166667,11892.55417579686,-252231.94582420314,0.04997921485941106
1. Residencial anual,17,2,1,2028-01-01,0.95,912.0,212.92933958333333,699.0706604166667,11884.201227083333,-252240.29877291666,0.049944111061497515
2. Estudiantil x habitacion,17,2,1,2028-01-01,0.95,833.625,207.83496458333332,625.7900354166667,9571.829352083334,-254552.67064791668,0.04022622127372698
3. Turistico (Airbnb/Booking),17,2,1,2028-01-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,24361.836747083333,-239762.66325291665,0.10238216745990053
4. Mixto (curso+verano),17,2,1,2028-01-01,0.95,833.625,207.83496458333332,625.7900354166667,12518.344211213527,-251606.15578878648,0.05260913726082592
1. Residencial anual,18,2,2,2028-02-01,0.95,912.0,212.92933958333333,699.0706604166667,12583.2718875,-251541.2281125,0.05288199994746795
2. Estudiantil x habitacion,18,2,2,2028-02-01,0.95,833.625,207.83496458333332,625.7900354166667,10197.6193875,-253926.8806125,0.04285614367514184
3. Turistico (Airbnb/Booking),18,2,2,2028-02-01,0.5499999999999999,2429.4159999999997,1138.5916595833332,1290.8243404166667,25652.6610875,-238471.8389125,0.1078069388001681
4. Mixto (curso+verano),18,2,2,2028-02-01,0.95,833.625,207.83496458333332,625.7900354166667,13144.134246630194,-250980.3657533698,0.05523905966224078
1. Residencial anual,19,2,3,2028-03-01,0.95,912.0,212.92933958333333,699.0706604166667,13282.342547916667,-250842.15745208334,0.0558198888334384
2. Estudiantil x habitacion,19,2,3,2028-03-01,0.95,833.625,207.83496458333332,625.7900354166667,10823.409422916668,-253301.09057708332,0.045486066076556704
3. Turistico (Airbnb/Booking),19,2,3,2028-03-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,26962.539948786474,-237161.96005121354,0.11331178797556829
4. Mixto (curso+verano),19,2,3,2028-03-01,0.95,833.625,207.83496458333332,625.7900354166667,13769.92428204686,-250354.57571795315,0.05786898206365564
1. Residencial anual,20,2,4,2028-04-01,0.95,912.0,212.92933958333333,699.0706604166667,13981.413208333333,-250143.08679166666,0.05875777771940884
2. Estudiantil x habitacion,20,2,4,2028-04-01,0.95,833.625,207.83496458333332,625.7900354166667,11449.199458333334,-252675.30054166666,0.04811598847797157
