ocupacion;roi_turistico;roi_mixto
0.1;0.00913072462702248;0.02750360338306367
0.15;0.017570413637318753;0.029613525635637742
0.2;0.026010102647615038;0.03172344788821181
0.25;0.034449791657911316;0.03383337014078588
0.3;0.04288948066820759;0.03594329239335995
0.35;0.05132916967850388;0.03805321464593402
0.4;0.059768858688800164;0.040163136898508096
0.45;0.06820854769909643;0.04227305915108216
0.5;0.0766482367093927;0.04438298140365622
0.55;0.08508792571968898;0.046492903656230294
0.6;0.09352761472998525;0.04860282590880437
0.65;0.10196730374028155;0.05071274816137844
0.7;0.11040699275057783;0.052822670413952506
0.75;0.1188466817608741;0.05493259266652658
0.8;0.12728637077117042;0.05704251491910065
0.85;0.13572605978146665;0.059152437171674725
0.9;0.14416574879176297;0.0612623594242488
