cod_municipio,cod_provincia,cp,direccion,dormit_totales,estudio,fecha_alta,habdoble,habindi,municipio,nombre,numplazasdoble,numplazasindi,plazas_totales,provincia,ref_catastral,rural,signatura,superficie,web
122,3,3690.0,"CL ALICANTE, 18, Pl:04 Pt:IZ",2,N,30/03/2022,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 489315-A,4,0,4,ALICANTE/ALACANT,6627311YH1562N0009ZZ,N,CV-VUT0489315-A,140.00,
122,3,3690.0,"CL ALICANTE, 24, Es:1 Pl:EN Pt:01",1,N,29/01/2024,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504861-A,2,0,2,ALICANTE/ALACANT,6627314YH1562N0002KF,N,CV-VUT0504861-A,47.00,
122,3,3690.0,"CL ALICANTE, 84, Es:1 Pl:+1 Pt:41",1,N,29/04/2024,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 507508-A,2,0,2,ALICANTE/ALACANT,6922128YH1572S0064SQ,N,CV-VUT0507508-A,41.00,
122,3,3690.0,"CL AVELLANO, 13, Es:T Pl:OD Pt:OS",4,N,17/12/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 484543-A,8,0,8,ALICANTE/ALACANT,8937002YH1593N0001UL,N,CV-VUT0484543-A,378.00,
122,3,3690.0,"CL BAILEN, 39, Pl:02 Pt:DR",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466339-A,2,3,5,ALICANTE/ALACANT,6326027YH1562N0005EJ,N,CV-VUT0466339-A,104.00,
122,3,3690.0,"CL BAILEN, 41, Pl:02 Pt:DR",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466336-A,2,3,5,ALICANTE/ALACANT,6326026YH1562N0005JJ,N,CV-VUT0466336-A,108.00,
122,3,3690.0,"CL BAILEN, 49, Pl:03 Pt:DR",3,N,04/07/2019,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 477239-A,6,0,6,ALICANTE/ALACANT,6325003YH1562S0007XR,N,CV-VUT0477239-A,112.00,
122,3,3690.0,"CL BAILEN, 57, Es:1 Pl:03 Pt:C",2,N,26/07/2023,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 500444-A,4,0,4,ALICANTE/ALACANT,6325007YH1562S0016KP,N,CV-VUT0500444-A,71.00,
122,3,3690.0,"CL BAUTISTA AZNAR, 2, Pl:03 Pt:DR",3,N,27/05/2018,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 467383-A,6,0,6,ALICANTE/ALACANT,6625111YH1562N0007QL,N,CV-VUT0467383-A,102.00,
122,3,3690.0,"CL BENLLIURE, 17, Pl:02 Pt:DR",4,N,24/08/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 483037-A,8,0,8,ALICANTE/ALACANT,6729008YH1562N0005UJ,N,CV-VUT0483037-A,97.00,
122,3,3690.0,"CL BENLLIURE, 32, Es:1 Pl:02 Pt:DR",4,N,24/08/2020,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 483038-A,8,0,8,ALICANTE/ALACANT,6728002YH1562N0004HH,N,CV-VUT0483038-A,91.00,
122,3,3690.0,"CL BLASCO IBAÑEZ, 26, Pl:03 Pt:IZ",3,N,26/12/2024,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 513503-A,6,0,6,ALICANTE/ALACANT,6929010YH1562N0010UL,N,CV-VUT0513503-A,90.00,
122,3,3690.0,"CL CADERNERA LA, 10, Es:T Pl:OD Pt:OS",5,N,29/04/2021,4.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 488079-A,8,1,9,ALICANTE/ALACANT,4563009YH1546S0001BS,N,CV-VUT0488079-A,484.00,
122,3,3690.0,"CL CASTAÑO, 6, Es:T Pl:OD Pt:OS",9,N,21/05/2025,9.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,18,0,18,ALICANTE/ALACANT,8945018YH1584S0001AJ,N,CV-VUT0516616-A,224.00,
122,3,3690.0,"CL CIUDAD JARDIN, 7, Pl:03 Pt:DR",3,N,05/11/2024,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 512549-A,6,0,6,ALICANTE/ALACANT,7026607YH1562N0007OL,N,CV-VUT0512549-A,87.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 21L, Es:2 Pl:04 Pt:I",3,N,02/01/2024,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504156-A,2,2,4,ALICANTE/ALACANT,7315601YH1581S0052DW,N,CV-VUT0504156-A,70.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 50, Es:P Pl:03 Pt:C",3,N,12/12/2017,2.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 461221-A,4,1,5,ALICANTE/ALACANT,8412110YH1581S0188ZO,N,CV-VUT0461221-A,89.00,
122,3,3690.0,"CL COLONIA STA. ISABEL, 9, Es:B Pl:05 Pt:I",2,N,02/01/2024,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504157-A,2,1,3,ALICANTE/ALACANT,7213201YH1581S0034YD,N,CV-VUT0504157-A,69.00,
122,3,3690.0,"CL COTTOLENGO, 1, Es:1 Pl:01 Pt:42",5,N,28/03/2025,4.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,8,1,9,ALICANTE/ALACANT,8123002YH1582S0042XS,N,CV-VUT0515429-A,108.00,
122,3,3690.0,"CL DR MARAÑON, 13, Bloque:1 Es:1 Pl:00 Pt:04",2,N,19/10/2015,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 444533-A,2,1,3,ALICANTE/ALACANT,6620602YH1562S0085LS,N,CV-VUT0444533-A,147.00,
122,3,3690.0,"CL DR MARAÑON, 14, Es:C Pl:01 Pt:A",2,N,05/10/2023,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 502176-A,2,1,3,ALICANTE/ALACANT,6723501YH1562S0028BL,N,CV-VUT0502176-A,116.00,
122,3,3690.0,"CL DR TRUETA, 16, Pl:01 Pt:IZ",3,N,09/02/2023,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 495033-A,6,0,6,ALICANTE/ALACANT,6429108YH1562N0006DK,N,CV-VUT0495033-A,141.00,
122,3,3690.0,"CL ESPRONCEDA, 6, Es:5 Pl:03 Pt:A",4,N,30/07/2025,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,2,3,5,ALICANTE/ALACANT,5834015YH1563S0052KT,N,CV-VUT0517953-A,146.00,
122,3,3690.0,"CL FRESNO, 20",2,N,10/06/2021,1.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 486496-A,2,1,3,ALICANTE/ALACANT,8934004YH1583S0001PM,N,CV-VUT0486496-A,216.00,
122,3,3690.0,"CL GABRIEL MIRO, 9, Pl:02 Pt:DR",3,N,16/07/2024,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 510236-A,6,0,6,ALICANTE/ALACANT,6627326YH1562N0004OH,N,CV-VUT0510236-A,137.00,
122,3,3690.0,"CL GENETA LA, 2, Es:T Pl:OD Pt:OS",4,N,20/12/2024,3.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 513440-A,6,1,7,ALICANTE/ALACANT,4758012YH1545N0001JP,N,CV-VUT0513440-A,334.00,
122,3,3690.0,"CL HERNAN CORTES, 24, Pl:03 Pt:DR",3,N,29/01/2025,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,0,6,ALICANTE/ALACANT,7026214YH1572N0009IW,N,CV-VUT0514120-A,88.00,
122,3,3690.0,"CL HUERTA LA, 132, Es:2 Pl:01 Pt:D",3,N,04/07/2023,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499816-A,2,2,4,ALICANTE/ALACANT,7028011YH1572N0127ZJ,N,CV-VUT0499816-A,92.00,
122,3,3690.0,"CL HUERTA LA, 136, Es:4 Pl:03 Pt:B",3,N,07/03/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 464441-A,2,2,4,ALICANTE/ALACANT,7028011YH1572N0143IR,N,CV-VUT0464441-A,90.00,
122,3,3690.0,"CL HUERTA LA, 14, Pl:01 Pt:IZ",4,N,15/06/2023,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499298-A,8,0,8,ALICANTE/ALACANT,6635607YH1563S0006MB,N,CV-VUT0499298-A,132.00,
122,3,3690.0,"CL HUERTA LA, 146, Es:9 Pl:01 Pt:B",3,N,07/03/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 464440-A,2,2,4,ALICANTE/ALACANT,7028011YH1572N0214FP,N,CV-VUT0464440-A,94.00,
122,3,3690.0,"CL JORGE JUAN, 29, Pl:01 Pt:IZ",3,N,29/01/2025,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,6,0,6,ALICANTE/ALACANT,6625109YH1562N0003YG,N,CV-VUT0514116-A,100.00,
122,3,3690.0,"CL JUAN RAMON JIMENEZ, 6, Pl:03",4,N,25/03/2024,3.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 506482-A,6,1,7,ALICANTE/ALACANT,6429719YH1562N0004GH,N,CV-VUT0506482-A,172.00,
122,3,3690.0,"CL L'ISLE D'ABEAU, 6, Es:1 Pl:00 Pt:70",3,N,19/06/2018,2.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 468572-A,4,1,5,ALICANTE/ALACANT,7130401YH1573S0004PX,N,CV-VUT0468572-A,182.00,
122,3,3690.0,"CL LILLO JUAN, 125, Pl:01 Pt:DR",3,N,13/02/2025,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,2,2,4,ALICANTE/ALACANT,5934201YH1553S0009YL,N,CV-VUT0514238-A,68.00,
122,3,3690.0,"CL LIMONEROS, 24, Es:T Pl:OD Pt:OS",12,N,08/07/2025,6.0,6.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,12,6,18,ALICANTE/ALACANT,8933002YH1583S0001PM,N,CV-VUT0517601-A,439.00,
122,3,3690.0,"CL MANUEL DGUEZ MARGARIT, 33, Es:1 Pl:02 Pt:DR",4,N,02/04/2025,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,8,0,8,ALICANTE/ALACANT,6331010YH1563S0006EB,N,CV-VUT0515597-A,119.00,
122,3,3690.0,"CL MAYOR, 25, Es:1 Pl:01 Pt:B",1,N,27/01/2026,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,MAYOR 25,2,0,2,ALICANTE/ALACANT,6328013YH1562N0005YJ,N,CV-VUT0519988-A,72.00,
122,3,3690.0,"CL MAYOR, 78, Es:1 Pl:01 Pt:A",2,N,26/02/2024,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 505786-A,4,0,4,ALICANTE/ALACANT,6425002YH1563N0002MI,N,CV-VUT0505786-A,92.00,
122,3,3690.0,"CL MAYOR, 78, Es:1 Pl:01 Pt:B",2,N,26/02/2024,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 505787-A,4,0,4,ALICANTE/ALACANT,6425002YH1563N0003QO,N,CV-VUT0505787-A,92.00,
122,3,3690.0,"CL MAYOR, 98, Es:1 Pl:02 Pt:08",3,N,07/05/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466340-A,2,2,4,ALICANTE/ALACANT,6424001YH1562S0137GT,N,CV-VUT0466340-A,80.00,
122,3,3690.0,"CL NUÑEZ DE BALBOA, 6, Es:1 Pl:01 Pt:E",4,N,24/01/2024,3.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 504710-A,6,1,7,ALICANTE/ALACANT,6925203YH1562N0037EJ,N,CV-VUT0504710-A,116.00,
122,3,3690.0,"CL PELAYO, 15, Pl:-1 Pt:28",3,N,30/11/2017,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 460722-A,6,0,6,ALICANTE/ALACANT,6829003YH1562N0028JA,N,CV-VUT0460722-A,22.00,
122,3,3690.0,"CL PINTOR MURILLO, 4, Pl:01",8,N,03/04/2025,2.0,6.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,4,6,10,ALICANTE/ALACANT,6425114YH1562N0001GD,N,CV-VUT0515672-A,221.00,
