cod_municipio,cod_provincia,cp,direccion,dormit_totales,estudio,fecha_alta,habdoble,habindi,municipio,nombre,numplazasdoble,numplazasindi,plazas_totales,provincia,ref_catastral,rural,signatura,superficie,web
122,3,3690.0,"CM SENDERA DE LA, 106, Es:T Pl:OD Pt:OS",4,N,18/11/2025,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,VILLA MULET,8,0,8,ALICANTE/ALACANT,7047006YH1564N0001XQ,N,CV-VUT0519157-A,82.00,
122,3,3690.0,"CR AGOST, 18, Es:1 Pl:00 Pt:04",1,N,29/03/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 496650-A,2,0,2,ALICANTE/ALACANT,6132001YH1563S0068FK,N,CV-VUT0496650-A,202.00,
122,3,3690.0,"CR CASTALLA, 46, Es:TO Pl:DO Pt:S",6,N,06/06/2023,5.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 498903-A,10,1,11,ALICANTE/ALACANT,5054004YH1545S0001ZK,N,CV-VUT0498903-A,528.00,
122,3,3690.0,"CR CASTALLA, 77, Es:T Pl:OD Pt:OS",4,N,12/11/2019,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 479655-A,8,0,8,ALICANTE/ALACANT,4458170YH1545N0001FP,N,CV-VUT0479655-A,296.00,
122,3,3690.0,"CR CASTALLA, 79, Pl:00",5,N,12/11/2019,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 479656-A,10,0,10,ALICANTE/ALACANT,4458128YH1545N0001QP,N,CV-VUT0479656-A,195.00,
122,3,3690.0,"PD BOQUERES POLIG D, 50, Es:T Pl:OD Pt:OS",12,N,20/04/2018,12.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 465784-A,24,0,24,ALICANTE/ALACANT,03122A004000820001QI,N,CV-VUT0465784-A,610.00,
122,3,3690.0,"PD RASPEIG POLIG F, 50, Es:T Pl:OD Pt:OS",2,N,26/02/2025,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,The chimney house,4,0,4,ALICANTE/ALACANT,000204900YH15D0001XK,S,CV-VUT0514567-A,104.00,
122,3,3690.0,"PD RASPEIG POLIG G, 52, Pl:01",1,N,10/11/2024,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 512669-A,2,0,2,ALICANTE/ALACANT,000204000YH15D0001PK,S,CV-VUT0512669-A,274.00,
122,3,3690.0,"PD TORREGROSES POLIG C, 67, Es:TO Pl:DO Pt:S",1,N,20/06/2023,1.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499396-A,2,0,2,ALICANTE/ALACANT,9024004YH1592S0001FP,N,CV-VUT0499396-A,193.00,
122,3,3690.0,"PD TORREGROSES POLIG C, 88, Es:T Pl:OD Pt:OS",4,N,07/03/2026,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,8,0,8,ALICANTE/ALACANT,9022013YH1582S0001SY,N,CV-VUT0520455-A,322.00,
122,3,3690.0,"PS NENUFARES DE LOS, 7B, Es:T Pl:OD Pt:OS",4,N,06/05/2024,4.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 508218-A,8,0,8,ALICANTE/ALACANT,8116122YH1581N0001AR,N,CV-VUT0508218-A,220.00,
122,3,3690.0,"PS OLIVOS, 69, Pl:00",3,N,24/05/2021,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 486157-A,6,0,6,ALICANTE/ALACANT,8420009YH1582S0001JY,N,CV-VUT0486157-A,211.00,
122,3,3690.0,"PS ROSALES LOS, 14A, Es:T Pl:OD Pt:OS",5,N,15/02/2018,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 463786-A,10,0,10,ALICANTE/ALACANT,8116114YH1581N0001SR,N,CV-VUT0463786-A,138.00,
