direccion;superficie_m2;dormitorios;plazas_totales;rural;estudio;fecha_alta;signatura;es_duplicado
CL GENETA LA, 2, Es:T Pl:OD Pt:OS;334.0;4;7;N;N;2024-12-20T00:00:00;CV-VUT0513440-A;False
CL HERNAN CORTES, 24, Pl:03 Pt:DR;88.0;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514120-A;False
CL HUERTA LA, 132, Es:2 Pl:01 Pt:D;92.0;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499816-A;False
CL HUERTA LA, 136, Es:4 Pl:03 Pt:B;90.0;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464441-A;False
CL HUERTA LA, 14, Pl:01 Pt:IZ;132.0;4;8;N;N;2023-06-15T00:00:00;CV-VUT0499298-A;False
CL HUERTA LA, 146, Es:9 Pl:01 Pt:B;94.0;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464440-A;False
CL JORGE JUAN, 29, Pl:01 Pt:IZ;100.0;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514116-A;False
CL JUAN RAMON JIMENEZ, 6, Pl:03;172.0;4;7;N;N;2024-03-25T00:00:00;CV-VUT0506482-A;False
CL L'ISLE D'ABEAU, 6, Es:1 Pl:00 Pt:70;182.0;3;5;N;N;2018-06-19T00:00:00;CV-VUT0468572-A;False
CL LILLO JUAN, 125, Pl:01 Pt:DR;68.0;3;4;N;N;2025-02-13T00:00:00;CV-VUT0514238-A;False
CL LIMONEROS, 24, Es:T Pl:OD Pt:OS;439.0;12;18;N;N;2025-07-08T00:00:00;CV-VUT0517601-A;False
CL MANUEL DGUEZ MARGARIT, 33, Es:1 Pl:02 Pt:DR;119.0;4;8;N;N;2025-04-02T00:00:00;CV-VUT0515597-A;False
CL MAYOR, 25, Es:1 Pl:01 Pt:B;72.0;1;2;N;N;2026-01-27T00:00:00;CV-VUT0519988-A;False
CL MAYOR, 78, Es:1 Pl:01 Pt:A;92.0;2;4;N;N;2024-02-26T00:00:00;CV-VUT0505786-A;False
CL MAYOR, 78, Es:1 Pl:01 Pt:B;92.0;2;4;N;N;2024-02-26T00:00:00;CV-VUT0505787-A;False
CL MAYOR, 98, Es:1 Pl:02 Pt:08;80.0;3;4;N;N;2018-05-07T00:00:00;CV-VUT0466340-A;False
CL NUÑEZ DE BALBOA, 6, Es:1 Pl:01 Pt:E;116.0;4;7;N;N;2024-01-24T00:00:00;CV-VUT0504710-A;False
CL PELAYO, 15, Pl:-1 Pt:28;22.0;3;6;N;N;2017-11-30T00:00:00;CV-VUT0460722-A;False
CL PINTOR MURILLO, 4, Pl:01;221.0;8;10;N;N;2025-04-03T00:00:00;CV-VUT0515672-A;False
CL PINTOR PICASSO, 1, Pl:02 Pt:DR;123.0;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464442-A;False
CL POETA GARCIA LORCA, 24, Es:1 Pl:04 Pt:C;159.0;3;5;N;N;2024-09-20T00:00:00;CV-VUT0511587-A;False
CL POU DEL, 9, Es:T Pl:OD Pt:OS;189.0;3;6;N;N;2023-06-01T00:00:00;CV-VUT0499661-A;False
CL RAFAEL SABATER LLOPIS, 1, Pl:03 Pt:IZ;101.0;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499817-A;False
CL RIO DUERO, 34, Pl:01;502.0;6;12;N;N;2023-05-04T00:00:00;CV-VUT0497637-A;False
CL RIO GUADALQUIVIR, 7, Es:T Pl:OD Pt:OS;338.0;5;10;N;N;2025-03-11T00:00:00;CV-VUT0514842-A;False
CL RIO TAJO, 13, Pl:00;144.0;4;8;N;N;2024-06-14T00:00:00;CV-VUT0509374-A;False
CL RIO TAJO, 15, Es:T Pl:OD Pt:OS;511.0;5;10;N;N;2024-12-16T00:00:00;CV-VUT0513335-A;False
CL ROBLE, 26, Es:T Pl:OD Pt:OS;247.0;3;6;N;N;2026-02-09T00:00:00;CV-VUT0520147-A;False
CL ROSSINYOL, 4, Es:T Pl:OD Pt:OS;355.0;5;10;N;N;2021-02-18T00:00:00;CV-VUT0485046-A;False
CL SAN ISIDRO, 11, Es:1 Pl:01 Pt:IZ;89.0;3;4;N;N;2022-11-28T00:00:00;CV-VUT0493991-A;False
CL SAN JUAN, 17C, Pl:04 Pt:1;124.0;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466338-A;False
CL SAN JUAN, 24, Pl:03 Pt:IZ;73.0;2;4;N;N;2025-01-19T00:00:00;CV-VUT0513809-A;False
CL TIBI, 4, Pl:02 Pt:IZ;93.0;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499821-A;False
CL TORRES QUEVEDO, 18, Es:1 Pl:03 Pt:DR;87.0;3;6;N;N;2022-09-30T00:00:00;CV-VUT0492515-A;False
CL TRAFALGAR, 1, Pl:01 Pt:DR;86.0;3;4;N;N;2018-03-08T00:00:00;CV-VUT0464462-A;False
CL VALENCIA, 22, Pl:03 Pt:DR;97.0;3;4;N;N;2018-06-12T00:00:00;CV-VUT0468242-A;False
CL VELAZQUEZ, 32, Pl:01 Pt:DR;95.0;3;6;N;N;2023-11-29T00:00:00;CV-VUT0503543-A;False
CL VELAZQUEZ, 33, Es:1 Pl:02 Pt:CN;135.0;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466335-A;False
CL VELAZQUEZ, 45, Es:1 Pl:00 Pt:IZ;103.0;4;5;N;N;2025-04-08T00:00:00;CV-VUT0515786-A;False
CL ZORRILLA, 10H, Pl:02 Pt:3;100.0;3;4;N;N;2019-06-04T00:00:00;CV-VUT0476393-A;False
CM COVES LES, 19, Es:T Pl:OD Pt:OS;222.0;5;10;N;N;2017-10-16T00:00:00;CV-VUT0459215-A;False
CM MAHONES DEL, 20, Es:T Pl:OD Pt:OS;633.0;9;18;N;N;2025-04-24T00:00:00;CV-VUT0516196-A;False
CM MONTNEGRE, 19, Es:TO Pl:DO Pt:S;424.0;6;11;N;N;2024-05-08T00:00:00;CV-VUT0507848-A;False
CM SENDERA DE LA, 106, Es:T Pl:OD Pt:OS;82.0;4;8;N;N;2025-11-18T00:00:00;CV-VUT0519157-A;False
CR AGOST, 18, Es:1 Pl:00 Pt:04;202.0;1;2;N;N;2023-03-29T00:00:00;CV-VUT0496650-A;False
CR CASTALLA, 46, Es:TO Pl:DO Pt:S;528.0;6;11;N;N;2023-06-06T00:00:00;CV-VUT0498903-A;False
CR CASTALLA, 77, Es:T Pl:OD Pt:OS;296.0;4;8;N;N;2019-11-12T00:00:00;CV-VUT0479655-A;False
CR CASTALLA, 79, Pl:00;195.0;5;10;N;N;2019-11-12T00:00:00;CV-VUT0479656-A;False
PD BOQUERES POLIG D, 50, Es:T Pl:OD Pt:OS;610.0;12;24;N;N;2018-04-20T00:00:00;CV-VUT0465784-A;False
PD TORREGROSES POLIG C, 67, Es:TO Pl:DO Pt:S;193.0;1;2;N;N;2023-06-20T00:00:00;CV-VUT0499396-A;False
PD TORREGROSES POLIG C, 88, Es:T Pl:OD Pt:OS;322.0;4;8;N;N;2026-03-07T00:00:00;CV-VUT0520455-A;False
PS NENUFARES DE LOS, 7B, Es:T Pl:OD Pt:OS;220.0;4;8;N;N;2024-05-06T00:00:00;CV-VUT0508218-A;False
PS OLIVOS, 69, Pl:00;211.0;3;6;N;N;2021-05-24T00:00:00;CV-VUT0486157-A;False
CL MARQUES DE MOLINS, 5, Es:1 Pl:00 Pt:CN;63.0;2;3;N;N;2025-01-28T00:00:00;CV-VUT0513993-A;False
PS ROSALES LOS, 14A, Es:T Pl:OD Pt:OS;138.0;5;10;N;N;2018-02-15T00:00:00;CV-VUT0463786-A;False
CL POZO, 54, Es:1 Pl:00 Pt:01;64.0;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514003-A;False
