fuente;precio;habitaciones;m2;zona;tipo_vivienda;texto_original;precio_m2;es_duplicado_cruzado;es_outlier_lujo
idealista;540000.0;6;310.0;;piso;540.000€ | 6 hab.|310 m² | ;1742.0;False;False
idealista;186000.0;2;80.0;;piso;186.000€ | 2 hab.|80 m²|Bajo exterior sin ascensor | ;2325.0;False;False
idealista;450000.0;4;401.0;;piso;450.000€ | Garaje incluido|4 hab.|401 m² | ;1122.0;False;False
idealista;520000.0;4;288.0;;piso;520.000€ | Garaje incluido|4 hab.|288 m² | ;1806.0;False;False
idealista;211000.0;2;78.0;;piso;211.000€ | Garaje incluido|2 hab.|78 m²|4ª planta exterior con ascensor | ;2705.0;False;False
idealista;250000.0;4;112.0;;piso;250.000€ | 4 hab.|112 m²|1ª planta exterior con ascensor | ;2232.0;False;False
idealista;299000.0;2;86.0;;piso;299.000€ | Garaje incluido|2 hab.|86 m²|exterior con ascensor | ;3477.0;False;False
idealista;265000.0;3;102.0;;piso;265.000€ | 3 hab.|102 m² | ;2598.0;False;False
idealista;227000.0;2;76.0;;piso;227.000€ | 2 hab.|76 m²|4ª planta exterior con ascensor | ;2987.0;False;False
idealista;239000.0;3;192.0;;piso;239.000€ | 3 hab.|192 m² | ;1245.0;False;False
idealista;980000.0;5;358.0;;piso;980.000€ | 5 hab.|358 m² | ;2737.0;False;False
idealista;205000.0;3;77.0;;piso;205.000€ | Garaje incluido|3 hab.|77 m²|exterior con ascensor | ;2662.0;False;False
idealista;635000.0;6;305.0;;piso;635.000€ | 6 hab.|305 m² | ;2082.0;False;False
idealista;325000.0;3;117.0;;piso;325.000€ | Garaje incluido|3 hab.|117 m²|7ª planta exterior con ascensor | ;2778.0;False;False
idealista;239000.0;3;192.0;;piso;239.000€ | 3 hab.|192 m² | ;1245.0;False;False
idealista;1550000.0;6;724.0;;piso_lujo;1.550.000€ | Garaje incluido|6 hab.|724 m² | Lujo;2141.0;False;True
idealista;419500.0;4;349.0;;piso;419.500€ | Garaje incluido|4 hab.|349 m² | Urge;1202.0;False;False
